,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Is old
3390,M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,old
2118,F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,young
798,M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,young
3376,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,young
2455,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,young
3878,F,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,old
3139,M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,young
2539,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,old
1939,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,young
2453,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,young
3523,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,young
899,I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,young
3063,F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,young
3131,M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,young
3711,M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,young
1191,F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,young
450,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,old
2794,M,0.63,0.505,0.175,1.221,0.555,0.252,0.34,old
2058,I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,young
3871,M,0.545,0.44,0.165,0.744,0.2875,0.204,0.25,old
2961,F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,young
3808,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,young
1609,I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,young
3699,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,young
5,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,young
2273,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,old
2340,M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,old
3601,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,young
1036,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,young
2756,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,young
1499,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,young
1058,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,young
157,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,old
3981,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,young
3016,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,young
498,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,old
3290,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,old
4171,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,young
1245,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,young
3977,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,young
3212,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,young
3990,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,young
1294,I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,young
4054,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,young
3474,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,young
1071,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,young
3563,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,young
987,F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,young
24,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,young
2552,I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,young
2325,F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,old
2877,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,young
2334,M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,old
4075,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,young
3375,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,young
1915,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,young
3774,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,young
1586,I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,young
2526,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,young
2214,M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,old
31,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,young
62,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,young
1788,I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,young
3821,M,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,young
1740,M,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,old
339,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,old
3571,M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,young
679,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,old
2038,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,young
1895,M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,young
164,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,old
2295,M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,old
2648,I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,young
226,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,young
2229,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,old
1624,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,young
3241,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,old
4042,I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,young
2789,F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,young
991,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,young
1403,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,young
971,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,young
2813,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,young
3996,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,young
1519,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,young
3112,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,young
1620,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,young
1676,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,young
2177,F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,old
3033,I,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,young
224,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,young
1099,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,young
317,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,old
402,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,young
256,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,old
1807,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,young
466,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,young
2095,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,young
556,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,young
4018,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,young
2357,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,old
2811,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,young
3578,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,young
4134,M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,young
2790,F,0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,young
2150,M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,young
311,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,old
1042,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,young
3372,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,young
2952,M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,young
1664,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,young
1630,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,young
2720,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,young
2659,I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,young
650,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,young
1063,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,young
3920,I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,young
1352,F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,old
870,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,young
3490,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,young
3671,M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,young
2277,F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,old
1216,I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,young
4144,F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,old
3650,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,young
261,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,young
301,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,young
3085,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,young
2064,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,young
2246,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,young
813,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,young
1451,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,young
1178,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,young
1031,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,young
1270,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,young
675,F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,old
4118,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,young
266,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,young
1606,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,young
2496,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,old
2905,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,young
215,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,old
1122,M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,young
1717,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,old
2926,I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,young
982,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,young
1813,M,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,young
193,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,old
749,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,old
50,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,young
2423,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,old
2256,M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,old
3647,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,young
1732,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,young
1292,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,old
1306,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,young
3715,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,young
3312,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,old
2094,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,young
906,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,young
2912,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,young
1765,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,young
350,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,old
2529,F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,young
2957,F,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,old
1827,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,young
3397,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,old
965,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,young
1706,M,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,young
2739,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,young
3521,F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,young
394,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,young
3921,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,young
1887,M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,young
3426,F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,young
4003,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,young
375,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,old
219,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,young
3772,I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,young
977,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,young
1167,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,young
1797,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,young
451,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,old
1043,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,old
3624,M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,young
1453,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,young
3335,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,young
2242,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,young
1400,F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,young
1402,M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,young
502,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,old
2828,I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,young
927,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,young
26,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,young
1300,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,young
2386,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,old
2606,F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,young
401,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,young
1327,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,young
683,F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,young
785,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,young
332,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,young
3018,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115,young
4090,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,young
1881,I,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,young
579,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,young
3266,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,old
2978,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,young
3712,M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,young
278,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,old
426,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,old
3691,M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,old
327,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,young
2013,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,young
1195,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,young
3838,I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,young
2030,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,young
603,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,old
1077,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,young
13,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,young
1186,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,young
3759,I,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,young
975,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,young
3852,M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,young
1423,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,old
3911,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,old
3504,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,young
4133,I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,young
1015,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,young
1708,M,0.645,0.5,0.175,1.286,0.5645,0.288,0.386,old
1020,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,young
3046,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,young
3853,M,0.55,0.41,0.15,0.785,0.282,0.186,0.275,old
4109,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,young
3256,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,young
3633,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,young
1618,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,young
1757,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,old
3407,I,0.35,0.28,0.075,0.196,0.082,0.04,0.064,young
1700,I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,old
3755,I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,young
352,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,old
1000,F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,young
1456,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,young
3846,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,young
3196,F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,old
1748,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,old
2786,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,young
3881,I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,young
1033,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,young
1446,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,young
3008,M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,old
1461,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,young
1052,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,young
2680,F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,young
2570,I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,young
3484,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,young
2368,M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,old
2988,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,young
3787,M,0.625,0.5,0.185,1.2425,0.5995,0.248,0.335,young
520,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,young
3946,I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,young
1883,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,young
790,F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,old
142,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,young
2946,F,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,young
1096,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,young
536,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,young
2208,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,young
648,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,young
4176,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,young
2879,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,young
3625,F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,young
1981,F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,young
961,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,young
1739,F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,young
3161,I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,young
3913,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,old
1136,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,young
2089,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,old
1892,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,young
1587,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,young
1722,M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,young
3856,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,young
3704,F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,young
3598,M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,young
3819,M,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,young
2352,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,old
1342,M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,young
2259,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,young
3186,F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,young
1680,F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,old
2614,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,young
1482,F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,young
903,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,young
1724,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,old
1652,F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,young
2773,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,young
2291,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,young
1060,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,young
2916,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,young
2158,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,old
2300,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,young
1332,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,young
1805,M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,young
2779,F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,young
2057,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,young
2264,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,old
1878,I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,young
2424,F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,young
1913,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,young
643,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,old
3144,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,young
529,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,old
3024,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,young
3876,M,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,young
130,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,old
3445,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,young
1114,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,young
983,F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,young
3423,M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,young
3110,I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,young
857,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,young
970,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,young
2396,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,old
346,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,old
120,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,young
1113,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,young
1532,I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,young
1029,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,young
30,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,young
3596,M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,young
292,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,old
1949,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,young
2005,I,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,young
3898,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,old
3097,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,young
3029,I,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,young
2053,M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,young
722,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,old
173,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,young
1338,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,young
2872,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,young
2973,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,old
2966,M,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,young
1375,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,young
2099,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,young
91,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,old
2890,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,young
2399,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,old
1984,F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,young
3381,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,young
3002,M,0.64,0.495,0.165,1.307,0.678,0.292,0.266,young
2927,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,young
3919,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,old
1918,M,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,young
1867,I,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,young
2919,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,young
1289,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,young
1617,I,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,young
2699,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,young
3346,F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,old
147,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,young
2594,F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,young
1840,I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,young
1272,I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,young
738,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,old
3417,M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,young
1477,F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,young
2951,M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,young
608,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,young
1205,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,young
3250,M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,young
1929,F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,old
2708,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,young
1072,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,young
452,F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,old
585,F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,young
1854,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,young
3382,M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,old
52,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,young
3183,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,young
2433,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,young
